venta_id,fecha,cliente_id,producto_id,cantidad,precio_unitario,canal
86,2024-09-26,965,61,4,454.47,App Móvil
87,2024-10-18,724,181,4,21.23,Web
88,2025-05-28,37,155,4,135.45,Tienda Física
89,2024-11-08,3,29,3,509.39,Tienda Física
90,2025-02-04,157,92,5,200.02,Web
91,2025-06-08,262,160,4,488.41,Tienda Física
92,2024-10-17,197,151,2,493.23,Tienda Física
93,2025-01-08,238,90,1,139.08,Web
94,2025-04-01,273,90,3,162.65,Tienda Física
95,2025-05-25,582,161,1,31.42,Web
96,2025-05-28,202,7,2,360.84,App Móvil
97,2024-10-03,432,193,4,267.31,App Móvil
98,2025-02-23,916,38,4,492.28,Tienda Física
99,2025-01-15,206,193,2,267.12,Tienda Física
100,2024-12-20,790,167,4,554.29,Tienda Física
101,2024-12-16,96,81,2,466.91,App Móvil
102,2024-11-22,497,159,2,121.12,Tienda Física
103,2025-03-25,478,38,4,448.33,Web
104,2025-03-02,483,189,3,218.02,Web
105,2025-04-02,843,12,1,7.02,Web
106,2024-11-23,423,165,4,75.21,Tienda Física
107,2024-08-11,285,117,1,32.86,Web
108,2024-10-02,386,127,5,117.36,Web
109,2024-06-27,434,145,5,526.64,App Móvil
110,2024-08-30,144,6,3,406.65,Tienda Física
111,2025-01-06,757,111,3,465.58,Tienda Física
112,2024-10-24,662,73,3,392.45,Tienda Física
113,2025-05-22,775,84,1,352.54,Web
114,2025-04-23,606,135,4,424.4,Tienda Física
115,2024-12-14,394,159,1,116.63,App Móvil
116,2024-08-08,588,85,1,86.56,Tienda Física
117,2025-03-02,106,35,2,517.28,Tienda Física
118,2024-12-11,387,129,4,142.63,Tienda Física
119,2024-08-24,70,130,2,443.69,Web
120,2025-06-20,422,63,5,345.07,Web
121,2024-09-24,555,90,1,124.74,App Móvil
122,2024-12-17,237,87,5,30.96,App Móvil
123,2025-04-01,185,16,4,214.37,Web
124,2024-09-07,302,34,5,116.24,App Móvil
125,2024-11-25,9,22,1,262.2,App Móvil
126,2024-07-21,459,45,1,150.03,Tienda Física
127,2024-07-11,260,39,4,376.52,Tienda Física
128,2024-08-14,71,30,5,486.26,Tienda Física
129,2024-12-02,703,101,2,325.38,App Móvil
130,2025-01-09,747,169,4,491.19,App Móvil
131,2024-07-08,536,16,5,245.11,Web
132,2024-10-24,172,147,2,142.75,Tienda Física
133,2024-10-16,890,113,3,364.66,App Móvil
134,2025-05-22,890,18,2,311.63,App Móvil
135,2024-09-23,317,25,4,268.79,Web
136,2024-07-14,927,33,5,385.29,Tienda Física
137,2024-07-31,722,45,3,175.73,Tienda Física
138,2025-02-20,952,47,1,488.0,Tienda Física
139,2025-06-12,222,112,4,258.01,App Móvil
140,2024-12-30,379,122,3,337.69,App Móvil
141,2024-09-21,49,111,1,480.82,Web
142,2024-08-07,495,134,2,176.27,Web
143,2024-10-07,310,120,1,434.75,Tienda Física
144,2024-07-09,988,36,5,476.87,Web
145,2024-08-19,458,183,1,210.28,Tienda Física
146,2025-01-19,469,119,4,129.75,Web
147,2025-02-15,146,64,5,526.92,App Móvil
148,2024-08-29,252,135,4,407.33,App Móvil
149,2024-10-27,492,12,4,6.77,Web
150,2025-06-15,956,148,3,66.75,Tienda Física
151,2025-06-18,130,161,3,37.47,Tienda Física
152,2025-01-02,79,113,3,354.77,Tienda Física
153,2024-11-14,735,65,5,510.86,Tienda Física
154,2025-05-28,552,184,3,172.05,Web
155,2024-10-27,36,67,2,26.59,Tienda Física
156,2024-12-23,103,193,3,260.91,App Móvil
157,2024-12-15,206,98,1,100.8,Web
158,2025-04-30,214,18,1,242.56,Web
159,2024-08-14,655,163,4,437.85,App Móvil
160,2024-10-02,525,48,3,245.67,Web
161,2025-02-19,169,19,1,56.64,Web
162,2024-11-24,381,100,5,300.84,App Móvil
163,2024-11-07,364,112,4,299.85,Web
164,2025-04-12,288,85,2,104.54,App Móvil
165,2025-06-07,520,155,5,130.93,App Móvil
166,2024-11-15,638,122,5,363.52,Tienda Física
167,2024-12-10,687,52,5,81.37,Tienda Física
168,2025-06-16,608,125,2,449.92,Web
169,2024-12-18,284,190,5,178.2,Tienda Física
170,2024-09-25,220,67,2,27.23,Tienda Física
171,2025-03-14,32,187,3,45.14,Web
172,2024-10-13,917,14,3,513.14,Web
173,2024-07-05,368,163,1,476.76,Tienda Física
174,2024-07-29,835,75,5,124.08,Tienda Física
175,2024-12-28,311,143,4,146.86,Web
176,2024-08-09,45,96,5,527.15,Web
177,2024-07-23,284,114,4,380.23,Tienda Física
178,2024-10-12,835,146,5,414.45,Web
179,2024-07-30,25,138,2,173.55,Tienda Física
180,2024-10-29,281,197,3,29.87,App Móvil
181,2024-09-13,110,149,3,389.59,Tienda Física
182,2024-11-01,609,139,5,32.99,Web
183,2025-05-18,126,8,2,147.47,Tienda Física
184,2024-09-09,91,195,2,263.72,Web
185,2025-05-14,332,172,5,61.07,Tienda Física
186,2024-10-31,803,104,5,500.24,Web
187,2025-06-07,201,165,2,64.83,Web
188,2025-05-08,565,98,5,95.96,Web
189,2025-01-11,111,75,3,123.15,Tienda Física
190,2024-12-14,744,152,3,22.49,Web
191,2024-08-27,675,107,5,555.92,Web
192,2025-03-23,471,102,1,392.18,App Móvil
193,2024-10-01,489,110,5,111.76,App Móvil
194,2024-07-31,712,197,1,28.95,Web
195,2024-09-27,286,169,1,433.32,Web
196,2025-06-16,655,142,4,172.84,Tienda Física
197,2025-04-05,24,90,4,130.75,App Móvil
198,2025-04-17,65,69,3,295.2,Web
199,2024-10-27,720,67,1,30.06,App Móvil
200,2025-01-14,636,81,5,525.34,App Móvil
201,2025-06-20,140,183,1,226.74,App Móvil
202,2024-08-01,365,58,4,44.92,Web
203,2025-03-29,964,52,3,80.61,App Móvil
204,2024-11-02,566,43,4,508.87,Web
205,2025-03-20,482,188,3,478.86,Web
206,2024-10-16,246,40,4,178.89,Tienda Física
207,2024-09-28,515,187,5,52.67,Tienda Física
208,2025-05-27,109,55,4,21.81,Tienda Física
209,2025-05-20,845,53,4,144.65,App Móvil
210,2025-02-19,669,132,3,196.42,Tienda Física
211,2025-03-18,705,78,2,163.04,App Móvil
212,2024-12-10,538,164,5,517.69,Web
213,2025-04-04,596,143,4,136.95,Tienda Física
214,2024-10-01,630,124,2,505.12,Web
215,2025-02-13,218,31,5,380.85,Tienda Física
216,2024-12-23,739,58,2,37.11,Web
217,2025-05-22,88,115,4,570.84,App Móvil
218,2024-07-06,896,148,5,53.16,App Móvil
219,2024-10-24,645,81,3,427.16,Web
220,2025-06-22,644,180,3,41.13,App Móvil
221,2025-04-22,858,27,1,223.33,Tienda Física
222,2024-09-11,210,96,1,518.74,Web
223,2025-05-02,392,13,4,62.3,Tienda Física
224,2024-09-27,122,153,3,455.95,App Móvil
225,2025-05-01,930,186,4,425.88,Web
226,2024-10-24,134,105,1,101.65,App Móvil
227,2025-02-20,621,21,3,334.63,Tienda Física
228,2024-12-06,996,53,5,157.48,Tienda Física
229,2025-03-03,748,34,5,130.97,App Móvil
230,2024-09-24,546,106,4,164.7,Tienda Física
231,2024-10-21,469,13,5,69.73,Tienda Física
232,2025-01-09,217,104,2,502.54,Tienda Física
233,2025-05-09,825,89,5,133.56,Web
234,2025-06-23,182,29,5,439.1,App Móvil
235,2025-01-05,268,147,1,131.41,Web
236,2024-08-12,771,76,2,371.83,Web
237,2024-09-18,492,187,2,45.89,App Móvil
238,2025-01-18,865,92,2,243.04,App Móvil
239,2024-07-30,752,17,1,137.71,Tienda Física
240,2025-03-01,356,140,3,60.46,App Móvil
241,2024-08-17,550,19,3,62.95,Web
242,2024-12-20,937,190,2,189.32,Tienda Física
243,2024-10-29,228,37,2,440.45,App Móvil
244,2024-11-11,717,182,1,359.37,Tienda Física
245,2025-03-28,639,116,4,444.18,Tienda Física
246,2025-01-18,422,101,5,302.69,Web
247,2024-09-10,696,58,2,45.71,Web
248,2024-07-23,567,194,4,75.59,App Móvil
249,2025-01-13,12,140,2,60.96,App Móvil
250,2024-10-24,255,136,4,351.38,App Móvil
251,2024-07-08,826,15,5,100.25,App Móvil
252,2024-10-08,988,57,3,250.22,Web
253,2024-11-05,556,77,3,382.3,Web
254,2025-04-19,337,95,3,54.45,Tienda Física
255,2024-07-30,207,140,2,71.51,Web
256,2024-10-22,712,74,1,465.94,Web
257,2024-11-11,975,77,2,416.33,App Móvil
258,2024-10-18,928,46,5,140.41,App Móvil
259,2024-08-24,395,89,4,143.64,Tienda Física
260,2025-03-18,280,144,1,288.3,Tienda Física
261,2024-10-25,196,185,4,295.25,Tienda Física
262,2025-05-05,593,74,5,439.36,Tienda Física
263,2025-01-22,20,88,1,315.94,App Móvil
264,2025-03-03,238,65,5,527.13,Web
265,2025-04-13,318,137,1,326.53,App Móvil
266,2025-04-07,968,148,1,61.22,Tienda Física
267,2024-08-28,864,176,5,228.43,Tienda Física
268,2025-01-18,607,18,1,294.37,Web
269,2024-12-08,454,172,5,55.23,App Móvil
270,2024-10-29,225,34,3,131.57,Web
271,2024-10-05,215,66,3,502.89,Web
272,2024-08-31,112,186,3,438.72,App Móvil
273,2024-12-12,672,148,2,60.58,Tienda Física
274,2024-06-29,123,163,4,485.46,App Móvil
275,2025-02-13,869,77,2,397.11,App Móvil
276,2025-01-16,330,178,4,87.23,App Móvil
277,2024-12-09,831,113,2,338.9,Tienda Física
278,2025-03-31,967,179,3,504.63,App Móvil
279,2024-07-07,940,183,3,222.83,Tienda Física
280,2025-03-21,813,179,3,519.32,Tienda Física
281,2024-08-05,654,135,4,444.34,App Móvil
282,2024-08-20,587,147,1,150.04,Web
283,2024-08-15,235,118,1,205.64,App Móvil
284,2024-06-27,765,172,3,51.04,Tienda Física
285,2024-09-07,186,186,4,387.85,Web
286,2024-08-07,824,169,5,554.59,App Móvil
287,2024-07-16,478,120,3,348.3,App Móvil
288,2025-03-10,63,50,5,35.49,Web
289,2024-08-07,744,74,4,434.55,Web
290,2025-01-03,137,64,1,544.55,Tienda Física
291,2024-10-21,407,63,5,305.77,Web
292,2024-11-18,856,26,2,261.02,Tienda Física
293,2024-11-24,506,166,4,218.56,Tienda Física
294,2025-03-04,21,197,1,26.96,Web
295,2024-10-20,773,184,1,172.61,App Móvil
296,2025-01-24,604,113,2,308.39,Web
297,2025-03-03,228,50,4,38.59,App Móvil
298,2024-09-09,525,171,5,450.97,App Móvil
299,2024-10-19,485,2,1,9.15,Web
300,2024-10-08,585,175,1,163.16,Tienda Física
301,2025-04-13,612,39,2,376.86,Tienda Física
302,2024-10-02,71,44,4,24.31,App Móvil
303,2025-05-08,1,8,3,163.28,Tienda Física
304,2025-04-02,525,168,4,7.03,App Móvil
305,2024-11-02,637,98,1,122.01,App Móvil
306,2025-03-06,243,65,4,458.66,Web
307,2024-11-08,968,49,2,148.57,Web
308,2024-10-25,441,70,4,40.12,App Móvil
309,2025-05-02,822,38,2,592.07,Web
310,2025-01-05,312,32,4,184.29,Tienda Física
311,2024-07-06,31,121,5,23.95,Web
312,2025-05-27,758,90,5,157.9,Web
313,2025-04-25,140,138,3,159.63,Tienda Física
314,2024-07-14,812,46,2,148.75,Web
315,2024-12-29,365,3,4,394.16,Web
316,2025-06-18,16,88,1,328.08,App Móvil
317,2024-07-19,442,76,4,306.02,App Móvil
318,2024-11-02,132,91,5,39.68,Tienda Física
319,2024-12-11,403,121,4,26.35,Tienda Física
320,2024-12-07,19,34,1,117.83,App Móvil
321,2024-12-26,50,106,2,183.18,Web
322,2025-01-06,103,151,2,508.72,Tienda Física
323,2025-02-11,829,163,2,443.68,Web
324,2025-03-06,79,3,2,424.56,Tienda Física
325,2025-02-24,997,70,3,36.98,App Móvil
326,2025-05-28,933,57,1,325.6,Web
327,2024-07-11,955,93,4,243.31,Tienda Física
328,2025-06-08,393,127,1,120.89,App Móvil
329,2025-03-09,7,124,2,493.06,Web
330,2025-05-16,46,107,3,504.79,Web
331,2025-04-04,872,55,1,26.18,Web
332,2024-07-23,587,40,5,171.44,Tienda Física
333,2024-09-06,43,142,4,168.24,Tienda Física
334,2024-11-23,914,64,1,461.93,Tienda Física
335,2025-06-14,575,16,4,252.96,Tienda Física
336,2025-02-01,142,155,2,160.64,Web
337,2024-11-21,614,156,4,13.91,Tienda Física
338,2024-11-05,429,4,1,569.07,App Móvil
339,2025-06-07,344,4,4,464.96,Web
340,2025-03-29,737,178,2,96.49,Tienda Física
341,2025-05-04,587,121,1,26.75,Web
342,2025-02-08,954,104,3,422.58,App Móvil
343,2024-07-18,61,195,5,272.57,Tienda Física
344,2024-12-08,849,61,5,534.38,Web
345,2024-10-30,654,76,4,320.96,Web
346,2025-04-11,397,151,2,533.3,Tienda Física
347,2025-02-07,490,166,1,250.68,App Móvil
348,2025-03-14,29,193,2,279.61,Web
349,2024-09-24,417,182,4,340.49,Tienda Física
350,2024-08-07,183,132,4,189.96,App Móvil
351,2025-01-13,404,175,1,183.96,App Móvil
352,2024-09-22,610,179,2,439.55,App Móvil
353,2024-11-09,352,141,1,125.34,Web
354,2025-04-22,468,108,2,175.28,App Móvil
355,2024-08-02,693,116,3,461.86,App Móvil
356,2024-08-01,624,121,3,28.96,Tienda Física
357,2024-08-29,629,63,4,276.06,Tienda Física
358,2025-01-29,516,69,2,287.5,App Móvil
359,2024-11-05,35,80,4,380.2,Web
360,2025-02-25,414,34,3,128.29,Web
361,2025-03-24,345,162,4,212.97,Web
362,2025-02-14,762,99,3,472.46,App Móvil
363,2024-11-29,336,175,4,203.94,Web
364,2025-03-12,945,52,5,84.48,Web
365,2024-07-18,993,137,5,319.12,Web
366,2024-11-23,115,146,3,362.77,Tienda Física
367,2025-03-04,890,153,4,526.05,Web
368,2024-09-22,709,55,5,22.24,App Móvil
369,2024-10-07,890,91,2,39.12,Web
370,2024-12-13,954,19,1,64.38,Tienda Física
371,2024-12-05,525,154,4,251.91,App Móvil
372,2025-06-24,203,47,4,551.02,Web
373,2024-12-10,903,194,4,76.26,Tienda Física
374,2025-03-30,21,172,4,47.88,App Móvil
375,2025-04-04,563,61,5,470.11,App Móvil
376,2025-02-13,878,1,2,111.68,Tienda Física
377,2024-07-29,608,8,1,162.55,Web
378,2024-11-25,740,168,2,6.93,App Móvil
379,2025-03-04,189,121,3,23.85,App Móvil
380,2025-06-23,571,40,2,205.33,Tienda Física
381,2025-02-01,857,188,4,411.16,App Móvil
382,2025-02-28,335,139,5,34.15,Tienda Física
383,2025-04-29,511,182,5,288.97,App Móvil
384,2025-05-16,794,56,4,146.07,Web
385,2024-12-11,285,137,2,270.16,App Móvil
386,2025-01-30,117,118,3,253.38,Tienda Física
387,2025-05-21,214,2,3,9.59,App Móvil
388,2024-12-24,761,80,2,373.02,Web
389,2024-09-28,162,50,3,37.96,App Móvil
390,2025-05-11,713,157,1,64.25,Tienda Física
391,2024-09-04,609,51,4,188.88,Tienda Física
392,2025-03-09,296,159,2,114.14,App Móvil
393,2025-03-09,214,88,3,298.0,App Móvil
394,2024-07-12,77,157,5,62.47,App Móvil
395,2024-08-16,904,164,1,446.35,Tienda Física
396,2024-09-06,974,53,2,142.16,Tienda Física
397,2025-01-11,781,9,1,564.52,App Móvil
398,2024-11-02,985,142,1,169.57,Web
399,2024-08-22,276,57,4,272.67,App Móvil
400,2025-03-21,439,192,2,461.7,Tienda Física
401,2024-12-16,926,114,5,421.55,Tienda Física
402,2025-03-24,461,1,2,127.43,App Móvil
403,2025-05-16,819,174,4,238.97,Tienda Física
404,2025-01-22,26,5,1,405.62,Tienda Física
405,2025-02-11,919,46,1,147.25,Web
406,2025-04-09,903,46,2,155.47,Web
407,2025-02-22,593,29,3,435.27,Web
408,2024-09-17,284,166,4,192.98,App Móvil
409,2025-02-09,495,171,1,419.59,App Móvil
410,2024-08-21,665,61,4,434.84,Web
411,2025-06-25,976,59,2,353.48,Tienda Física
412,2025-06-18,1000,17,1,132.67,Web
413,2024-07-10,286,160,5,384.53,Tienda Física
414,2024-09-01,338,158,1,339.39,App Móvil
415,2024-12-30,68,153,3,489.81,Tienda Física
416,2024-12-14,444,170,3,33.28,App Móvil
417,2025-03-24,561,156,5,14.62,Tienda Física
418,2024-09-06,557,94,2,419.54,Web
419,2025-04-29,715,39,1,298.24,Tienda Física
420,2024-09-27,26,73,2,399.23,Tienda Física
421,2024-11-14,734,107,4,566.04,App Móvil
422,2025-05-10,188,171,3,494.86,App Móvil
423,2025-01-29,696,99,5,384.1,Tienda Física
424,2024-06-29,901,42,4,518.15,App Móvil
425,2024-12-30,105,93,3,207.36,Web
426,2024-10-08,565,140,1,68.18,App Móvil
427,2024-12-03,162,85,1,90.05,Tienda Física
428,2025-03-08,762,93,5,238.54,Tienda Física
429,2025-01-26,456,86,5,353.58,Tienda Física
430,2025-05-27,508,115,2,571.22,Tienda Física
431,2024-09-22,970,165,3,71.52,Web
432,2024-08-01,917,2,2,7.4,App Móvil
433,2024-08-13,806,97,4,267.48,Web
434,2025-02-05,21,112,4,296.67,Web
435,2025-02-03,656,11,1,349.12,Tienda Física
436,2025-03-20,354,120,1,355.32,Tienda Física
437,2024-09-30,743,192,4,471.87,App Móvil
438,2025-05-17,410,132,1,191.34,Web
439,2024-08-08,501,106,3,144.52,App Móvil
440,2025-03-19,187,158,4,368.78,Tienda Física
441,2024-09-29,255,111,5,458.53,Web
442,2025-02-03,358,168,1,7.58,Web
443,2024-07-23,326,76,5,382.32,Web
444,2024-08-07,878,197,4,28.05,Tienda Física
445,2025-01-30,428,5,2,426.98,Web
446,2025-06-17,211,72,4,401.39,Tienda Física
447,2024-11-30,472,157,5,65.91,Web
448,2024-09-30,407,141,4,97.71,Tienda Física
449,2024-10-05,506,130,2,519.92,App Móvil
450,2025-05-30,265,111,1,382.43,Tienda Física
451,2024-08-16,16,60,1,38.57,App Móvil
452,2025-04-17,239,153,4,474.78,Tienda Física
453,2025-04-20,805,140,5,74.11,Web
454,2024-11-26,109,17,2,123.04,App Móvil
455,2024-09-14,484,64,3,527.83,Web
456,2024-07-28,333,113,2,351.71,App Móvil
457,2025-01-17,7,135,1,448.64,Tienda Física
458,2025-05-02,47,31,1,344.92,Web
459,2024-10-28,66,126,1,443.67,Tienda Física
460,2024-12-17,447,131,3,386.52,App Móvil
461,2024-11-19,506,2,4,7.89,Tienda Física
462,2024-10-06,198,148,2,57.28,App Móvil
463,2024-09-09,819,82,1,280.45,Web
464,2024-09-19,563,173,1,525.21,Web
465,2024-07-19,494,146,2,383.73,Web
466,2024-07-08,356,158,5,365.19,Tienda Física
467,2025-05-08,901,74,3,482.82,App Móvil
468,2024-07-28,379,187,2,51.98,Web
469,2025-04-19,957,91,3,36.17,App Móvil
470,2025-03-11,369,57,4,248.65,Web
471,2024-12-17,628,14,3,428.59,Tienda Física
472,2024-12-23,145,111,5,401.49,Tienda Física
473,2024-07-11,736,9,4,543.06,App Móvil
474,2025-03-31,595,139,2,35.31,Web
475,2024-10-22,839,94,5,456.92,App Móvil
476,2024-07-19,502,132,3,187.26,App Móvil
477,2025-02-22,996,28,1,231.9,Tienda Física
478,2024-09-06,793,200,3,238.32,Tienda Física
479,2024-10-05,742,167,4,440.14,App Móvil
480,2024-11-05,379,71,2,374.37,Tienda Física
481,2024-07-21,104,45,4,158.29,App Móvil
482,2025-05-04,500,74,3,478.15,Tienda Física
483,2025-02-27,206,37,4,454.43,Web
484,2025-02-21,9,45,5,156.42,Tienda Física
485,2024-12-29,410,131,3,369.67,Tienda Física
486,2025-02-21,444,96,2,438.97,App Móvil
487,2024-07-29,830,9,4,481.83,Tienda Física
488,2024-08-21,435,154,1,301.37,App Móvil
489,2024-09-11,954,122,2,374.74,App Móvil
490,2025-03-03,736,165,2,59.68,Web
491,2024-08-16,279,2,5,8.25,Tienda Física
492,2024-10-21,359,28,2,248.09,Web
493,2025-02-09,657,36,4,434.74,Tienda Física
494,2025-04-15,346,75,1,126.65,Web
495,2025-04-22,999,90,5,161.01,Tienda Física
496,2025-05-30,244,190,4,191.81,Tienda Física
497,2025-04-02,589,176,2,228.42,Web
498,2024-07-26,177,110,5,114.04,Tienda Física
499,2025-05-08,929,54,2,427.37,App Móvil
500,2024-07-02,553,130,4,535.52,Web
501,2025-04-18,649,158,4,309.43,App Móvil
502,2024-11-15,14,189,3,191.92,Web
503,2024-08-30,700,6,2,393.04,Web
504,2024-07-16,654,81,1,544.82,Tienda Física
505,2024-09-02,655,129,5,125.88,Tienda Física
506,2024-10-19,780,192,5,476.06,Web
507,2024-08-04,653,82,1,242.73,Tienda Física
508,2025-03-14,914,26,5,236.37,Tienda Física
509,2024-09-15,774,132,3,179.33,Web
510,2025-03-06,682,19,3,69.81,Tienda Física
511,2024-11-20,915,14,4,454.7,Tienda Física
512,2024-10-04,147,165,4,58.5,Tienda Física
513,2024-08-20,519,167,1,445.84,Tienda Física
514,2025-01-31,929,90,3,142.82,App Móvil
515,2024-07-04,320,173,1,535.55,App Móvil
516,2024-10-23,260,56,5,163.42,Tienda Física
517,2024-09-27,355,101,1,333.93,Web
518,2024-12-03,318,151,2,507.04,App Móvil
519,2025-05-29,738,180,5,43.35,Tienda Física
520,2024-08-06,8,92,1,241.09,Web
521,2024-09-24,272,36,3,372.33,Web
522,2024-11-15,648,73,4,404.68,App Móvil
523,2025-02-28,194,103,1,467.14,Tienda Física
524,2024-10-27,536,108,2,209.75,Web
525,2024-08-21,39,146,5,393.94,Tienda Física
526,2024-09-29,362,112,2,234.71,Web
527,2024-08-30,888,55,2,24.5,Web
528,2025-02-03,589,127,2,112.12,App Móvil
529,2025-01-29,199,142,2,190.7,Web
530,2024-12-03,788,105,2,101.72,Tienda Física
531,2025-05-08,876,47,3,511.34,Web
532,2024-09-03,452,23,5,164.37,Tienda Física
533,2024-07-11,48,200,3,234.17,App Móvil
534,2024-07-18,361,89,2,128.85,Web
535,2024-10-23,368,46,1,157.67,App Móvil
536,2025-03-12,665,29,4,423.21,App Móvil
537,2025-04-29,282,69,1,347.88,Web
538,2024-07-16,264,84,1,374.86,Web
539,2025-05-22,645,50,1,31.41,Tienda Física
540,2025-06-17,915,199,5,334.05,Tienda Física
541,2024-11-15,19,141,1,125.23,Tienda Física
542,2025-05-11,444,86,2,382.63,Tienda Física
543,2024-12-05,392,153,3,435.17,App Móvil
544,2024-06-29,642,113,1,327.94,Tienda Física
545,2024-12-14,482,34,3,130.95,Tienda Física
546,2024-08-31,109,133,4,84.27,Web
547,2025-05-25,871,52,4,77.56,App Móvil
548,2024-10-23,554,193,1,287.01,App Móvil
549,2024-09-12,361,171,3,432.39,Tienda Física
550,2025-02-21,387,200,4,229.57,Tienda Física
551,2024-07-07,489,193,5,262.55,Web
552,2025-05-09,793,197,1,28.86,App Móvil
553,2024-10-20,60,42,5,403.32,App Móvil
554,2025-04-02,886,151,5,533.95,Tienda Física
555,2024-08-08,551,22,5,245.95,App Móvil
556,2025-06-09,167,194,3,60.3,Web
557,2024-11-16,441,164,4,418.74,Web
558,2025-02-26,208,149,1,402.9,Web
559,2024-08-31,541,179,1,414.52,App Móvil
560,2025-01-05,236,189,1,184.14,Web
561,2025-05-13,825,2,5,8.18,App Móvil
562,2025-03-25,997,169,1,518.36,App Móvil
563,2024-12-05,598,28,5,226.15,Tienda Física
564,2024-12-18,478,32,4,161.37,Tienda Física
565,2025-02-24,212,86,2,340.71,Web
566,2024-09-05,554,168,1,6.31,App Móvil
567,2024-07-18,902,139,3,33.4,App Móvil
568,2024-08-01,642,127,1,120.74,Web
569,2025-02-17,84,21,1,319.45,Web
570,2025-06-09,687,105,1,101.77,App Móvil
571,2024-12-12,635,119,3,136.59,Web
